time,price,amount,bid_price,ask_price
9142043,141150,1,141150,141180
9142379,141170,1,141140,141170
9142480,141140,1,141140,141170
9142522,141150,2,141140,141150
9142541,141150,1,141140,141150
9142543,141140,1,141140,141170
9142626,141140,4,141140,141170
9142626,141160,2,141140,141160
9142710,141160,1,141160,141170
9142860,141130,1,141130,141160
9142862,141130,1,141130,141160
9143186,141130,1,141120,141130
9143186,141140,2,141120,141140
9143197,141130,1,141130,141160
9143289,141160,4,141130,141160
9143289,141170,3,141130,141170
9143289,141180,3,141130,141180
9143289,141190,1,141160,141190
9143290,141190,1,141190,141210
9143290,141180,2,141180,141210
9143290,141180,1,141170,141180
9143302,141170,1,141170,141200
9143302,141200,3,141170,141200
9143455,141170,1,141170,141190
9143455,141160,1,141160,141180
9143552,141150,1,141150,141180
9143861,141170,1,141150,141170
9143869,141160,2,141160,141190
9143877,141170,1,141170,141190
9143987,141190,2,141170,141190
9144045,141160,1,141160,141190
9144419,141170,3,141150,141170
9144419,141190,2,141160,141190
9144427,141170,1,141170,141200
9144450,141160,1,141160,141200
9144553,141190,2,141170,141190
9144563,141190,1,141180,141190
9144564,141180,1,141180,141210
9144697,141190,1,141190,141210
9144711,141210,5,141200,141210
9144715,141220,5,141210,141220
9144715,141220,2,141210,141220
9144716,141210,1,141210,141230
9144716,141200,1,141210,141230
9144723,141200,1,141200,141230
9144725,141200,1,141200,141230
9144793,141230,2,141200,141230
9144793,141240,1,141200,141230
9144793,141250,3,141200,141230
9144793,141240,2,141210,141240
9144796,141210,1,141210,141240
9144800,141200,1,141200,141230
9144869,141220,1,141210,141220
9144869,141230,1,141220,141230
9144877,141230,1,141220,141230
9144957,141220,1,141220,141250
9144957,141240,1,141210,141240
9145180,141240,1,141210,141240
9145188,141240,1,141230,141240
9145304,141250,2,141230,141250
9145317,141250,1,141240,141250
9145344,141260,9,141250,141260
9145347,141250,1,141250,141270
9145352,141250,1,141250,141270
9145398,141260,1,141240,141260
9145412,141260,1,141240,141260
9145412,141270,1,141250,141270
9145420,141270,1,141260,141270
9145421,141260,1,141260,141280
9145430,141260,2,141260,141270
9145518,141260,1,141240,141260
9145549,141250,1,141250,141260
9145552,141240,2,141240,141250
9145555,141230,1,141230,141250
9145582,141250,3,141230,141250
9145582,141260,1,141230,141250
9145582,141260,2,141260,141270
9145587,141230,1,141230,141260
9145602,141250,2,141230,141250
9145741,141260,1,141240,141260
9145749,141260,1,141250,141260
9145749,141260,1,141260,141280
9145865,141280,4,141260,141280
9145872,141260,1,141260,141280
9145877,141250,1,141250,141280
9145884,141240,1,141240,141270
9150027,141260,1,141240,141260
9150036,141260,1,141260,141290
9150041,141250,1,141250,141280
9150043,141250,1,141250,141280
9150046,141240,1,141240,141280
9150052,141240,1,141240,141270
9150052,141230,2,141240,141270
9150052,141220,1,141240,141270
9150054,141240,1,141220,141240
9150060,141220,1,141220,141250
9150079,141250,2,141210,141250
9150167,141250,2,141220,141250
9150167,141250,4,141250,141260
9150172,141240,1,141230,141240
9150172,141250,3,141230,141250
9150173,141230,1,141230,141260
9150205,141220,1,141200,141220
9150245,141220,1,141220,141230
9150257,141200,1,141200,141230
9150261,141190,1,141190,141220
9150262,141210,1,141180,141210
9150262,141210,1,141210,141220
9150262,141220,1,141210,141220
9150263,141210,6,141210,141220
9150263,141210,6,141210,141220
9150263,141220,1,141210,141220
9150263,141210,6,141210,141220
9150263,141210,2,141200,141210
9150270,141200,2,141200,141230
9150271,141210,1,141190,141210
9150271,141220,1,141200,141220
9150275,141210,1,141210,141230
9150278,141200,1,141200,141230
9150310,141230,1,141210,141230
9150494,141220,1,141220,141240
9150599,141240,1,141220,141240
9150663,141240,2,141220,141240
9150663,141250,2,141240,141250
9150668,141250,19,141250,141260
9150668,141260,9,141240,141260
9150668,141250,1,141240,141250
9150670,141240,1,141240,141270
9150673,141250,1,141250,141270
9150677,141230,1,141230,141270
9150677,141210,1,141230,141270
9150677,141200,1,141230,141270
9150683,141230,1,141230,141260
9150816,141260,4,141250,141260
9150817,141270,2,141260,141270
9150862,141270,2,141270,141290
9150870,141260,1,141260,141290
9151031,141290,1,141280,141290
9151032,141300,2,141290,141300
9151041,141290,1,141280,141290
9151151,141290,1,141290,141320
9151197,141280,1,141280,141310
9151489,141310,1,141290,141310
9151489,141320,6,141310,141320
9151490,141330,5,141320,141330
9151490,141320,2,141320,141340
9151491,141320,1,141320,141340
9151491,141310,2,141310,141340
9151491,141300,3,141300,141330
9151493,141330,5,141330,141340
9151493,141340,1,141320,141340
9151494,141310,1,141310,141330
9151496,141310,3,141300,141310
9151499,141310,1,141310,141340
9151502,141300,1,141300,141330
9151502,141290,2,141300,141330
9151531,141320,1,141310,141320
